1,2970
2,2970
3,3044
4,3181
5,3347
6,3500
7,3654
8,3830
9,3996
10,4154
11,4317
12,4474
13,4643
14,4805
15,4970
16,5128
17,5271
18,5443
19,5576
20,5739
21,5871
22,6017
23,6172
24,6315
25,6451
26,6597
27,6743
28,6885
29,7016
30,7158
31,7291
32,7430
33,7570
34,7687
35,7847
36,7951
37,8052
38,8191
39,8312
40,8411
41,8560
42,8639
43,8763
44,8895
45,8988
46,9125
47,9237
48,9364
49,9458
50,9559
51,9680
52,9775
53,9913
54,10025
55,10144
56,10286
57,10424
58,10544
59,10712
60,10858
61,11026
62,11182
63,11367
64,11517
65,11732
66,11916
67,12126
68,12363
69,12570
70,12817
71,13054
72,13342
73,13627
74,13945
75,14264
76,14596
77,14961
78,15362
79,15785
80,16240
81,16698
82,17262
83,17851
84,18509
85,19215
86,19989
87,20905
88,21863
89,22985
90,24305
91,25833
92,27624
93,29805
94,32578
95,36239
96,41211
97,48494
98,60731
99,85767
100,113656
